iter	Passed	Remaining
717	26626	3040
718	26651	3002
719	26712	2968
720	26758	2931
721	26807	2896
722	26851	2859
723	26897	2823
724	26936	2786
725	27004	2752
726	27036	2714
727	27090	2679
728	27133	2642
729	27181	2606
730	27208	2568
731	27237	2530
732	27276	2493
733	27321	2456
734	27377	2421
735	27427	2385
736	27480	2349
737	27526	2312
738	27564	2275
739	27608	2238
740	27654	2201
741	27686	2164
742	27724	2126
743	27759	2089
744	27805	2052
745	27845	2015
746	27896	1979
747	27942	1942
748	27989	1905
749	28040	1869
750	28064	1831
751	28102	1793
752	28146	1756
753	28206	1720
754	28240	1683
755	28298	1646
756	28337	1609
757	28373	1572
758	28409	1534
759	28447	1497
760	28487	1459
761	28537	1423
762	28582	1386
763	28637	1349
764	28667	1311
765	28698	1273
766	28731	1236
767	28764	1198
768	28795	1160
769	28838	1123
770	28878	1086
771	28917	1048
772	28955	1011
773	28996	974
774	29045	936
775	29105	900
776	29140	862
777	29180	825
778	29207	787
779	29240	749
780	29261	711
781	29295	674
782	29329	636
783	29352	599
784	29389	561
785	29424	524
786	29460	486
787	29495	449
788	29528	411
789	29554	374
790	29583	336
791	29609	299
792	29636	261
793	29669	224
794	29688	186
795	29729	149
796	29771	112
797	29802	74
798	29832	37
799	29866	0
